                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                     0.10,	                     0.10,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  8723.29,	                    20.00,	                  8447.98,	                    41.10,	                  2014.09,	                     0.00,	                    13.04,	                     0.29,	                     0.00,	                    13.33,	                     3.79,	                    78.79,	                    82.59,	                     8.26,	                    80.21
                     0.22,	                     0.12,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  7857.29,	                    20.00,	                  7581.99,	                    41.10,	                  2014.09,	                     0.00,	                    11.70,	                     0.29,	                     0.00,	                    11.99,	                     3.79,	                    70.89,	                    74.68,	                    17.22,	                    72.53
                     0.36,	                     0.14,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  7010.00,	                    20.00,	                  6734.69,	                    41.10,	                  2014.09,	                     0.00,	                    10.39,	                     0.29,	                     0.00,	                    10.68,	                     3.79,	                    63.16,	                    66.95,	                    26.86,	                    65.02
                     0.54,	                     0.17,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  6192.52,	                    20.00,	                  5917.22,	                    41.10,	                  2014.09,	                     0.00,	                     9.13,	                     0.29,	                     0.00,	                     9.42,	                     3.79,	                    55.70,	                    59.49,	                    37.14,	                    57.78
                     0.74,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  5431.66,	                    20.00,	                  5156.36,	                    41.10,	                  2014.09,	                     0.00,	                     7.96,	                     0.29,	                     0.00,	                     8.25,	                     3.79,	                    48.75,	                    52.55,	                    48.04,	                    51.03
                     0.99,	                     0.25,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  4730.43,	                    20.00,	                  4455.13,	                    41.10,	                  2014.09,	                     0.00,	                     6.87,	                     0.29,	                     0.00,	                     7.17,	                     3.79,	                    42.35,	                    46.15,	                    59.52,	                    44.82
                     1.29,	                     0.30,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  4110.83,	                    20.00,	                  3835.52,	                    41.10,	                  2014.09,	                     0.00,	                     5.92,	                     0.29,	                     0.00,	                     6.21,	                     3.79,	                    36.70,	                    40.49,	                    71.61,	                    39.33
                     1.65,	                     0.36,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  3564.44,	                    20.00,	                  3289.14,	                    41.10,	                  2014.09,	                     0.00,	                     5.07,	                     0.29,	                     0.00,	                     5.37,	                     3.79,	                    31.71,	                    35.51,	                    84.34,	                    34.49
                     1.86,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  3312.03,	                    20.00,	                  3036.73,	                    41.10,	                  2014.09,	                     0.00,	                     4.68,	                     0.29,	                     0.00,	                     4.98,	                     3.79,	                    29.41,	                    33.20,	                    91.47,	                    32.25
                     2.12,	                     0.26,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  3062.97,	                    20.00,	                  2787.67,	                    41.10,	                  2014.09,	                     0.00,	                     4.30,	                     0.29,	                     0.00,	                     4.59,	                     3.79,	                    27.14,	                    30.93,	                    99.45,	                    30.04
                     2.43,	                     0.31,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2822.46,	                    20.00,	                  2547.16,	                    41.10,	                  2014.09,	                     0.00,	                     3.93,	                     0.29,	                     0.00,	                     4.22,	                     3.79,	                    24.94,	                    28.74,	                   108.35,	                    27.91
                     2.80,	                     0.37,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2594.56,	                    20.00,	                  2319.26,	                    41.10,	                  2014.09,	                     0.00,	                     3.58,	                     0.29,	                     0.00,	                     3.87,	                     3.79,	                    22.86,	                    26.66,	                   118.25,	                    25.89
                     3.03,	                     0.22,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2479.97,	                    20.00,	                  2204.67,	                    41.10,	                  2014.09,	                     0.00,	                     3.40,	                     0.29,	                     0.00,	                     3.69,	                     3.79,	                    21.82,	                    25.61,	                   123.96,	                    24.87
                     3.29,	                     0.27,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2364.74,	                    20.00,	                  2089.44,	                    41.10,	                  2014.09,	                     0.00,	                     3.22,	                     0.29,	                     0.00,	                     3.51,	                     3.79,	                    20.77,	                    24.56,	                   130.53,	                    23.85
                     3.62,	                     0.32,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2245.87,	                    20.00,	                  1970.57,	                    41.10,	                  2014.09,	                     0.00,	                     3.04,	                     0.29,	                     0.00,	                     3.33,	                     3.79,	                    19.68,	                    23.47,	                   138.07,	                    22.80
                     4.00,	                     0.39,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2130.02,	                    20.00,	                  1854.72,	                    41.10,	                  2014.09,	                     0.00,	                     2.86,	                     0.29,	                     0.00,	                     3.15,	                     3.79,	                    18.62,	                    22.42,	                   146.70,	                    21.77
                     4.12,	                     0.12,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2096.06,	                    20.00,	                  1820.76,	                    41.10,	                  2014.09,	                     0.00,	                     2.81,	                     0.29,	                     0.00,	                     3.10,	                     3.79,	                    18.31,	                    22.11,	                   149.26,	                    21.47
                     4.25,	                     0.14,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2062.09,	                    20.00,	                  1786.79,	                    41.10,	                  2014.09,	                     0.00,	                     2.76,	                     0.29,	                     0.00,	                     3.05,	                     3.79,	                    18.00,	                    21.80,	                   152.28,	                    21.17
                     4.42,	                     0.17,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2022.22,	                    20.00,	                  1746.92,	                    41.10,	                  2014.09,	                     0.00,	                     2.69,	                     0.29,	                     0.00,	                     2.99,	                     3.79,	                    17.64,	                    21.43,	                   155.85,	                    20.82
                     4.62,	                     0.20,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1980.45,	                    20.00,	                  1705.15,	                    41.10,	                  2014.09,	                     0.00,	                     2.63,	                     0.29,	                     0.00,	                     2.92,	                     3.79,	                    17.26,	                    21.05,	                   160.05,	                    20.45
                     4.86,	                     0.24,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1932.38,	                    20.00,	                  1657.08,	                    41.10,	                  2014.09,	                     0.00,	                     2.56,	                     0.29,	                     0.00,	                     2.85,	                     3.79,	                    16.82,	                    20.61,	                   164.99,	                    20.02
                     5.15,	                     0.29,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1883.70,	                    20.00,	                  1608.40,	                    41.10,	                  2014.09,	                     0.00,	                     2.48,	                     0.29,	                     0.00,	                     2.77,	                     3.79,	                    16.38,	                    20.17,	                   170.79,	                    19.59
                     5.49,	                     0.35,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1828.90,	                    20.00,	                  1553.60,	                    41.10,	                  2014.09,	                     0.00,	                     2.40,	                     0.29,	                     0.00,	                     2.69,	                     3.79,	                    15.88,	                    19.67,	                   177.57,	                    19.10
                     5.91,	                     0.41,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1775.78,	                    20.00,	                  1500.48,	                    41.10,	                  2014.09,	                     0.00,	                     2.31,	                     0.29,	                     0.00,	                     2.61,	                     3.79,	                    15.39,	                    19.19,	                   185.52,	                    18.63
                     6.16,	                     0.25,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1743.55,	                    20.00,	                  1468.25,	                    41.10,	                  2014.09,	                     0.00,	                     2.26,	                     0.29,	                     0.00,	                     2.56,	                     3.79,	                    15.10,	                    18.89,	                   190.21,	                    18.35
