                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                     8.03,	                     0.67,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1312.53,	                    20.00,	                  1037.23,	                    41.10,	                  2014.09,	                     0.00,	                     1.60,	                     0.29,	                     0.00,	                     1.89,	                     3.79,	                    11.16,	                    14.96,	                   125.40,	                    14.53
                     8.83,	                     0.80,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1304.87,	                    20.00,	                  1029.57,	                    41.10,	                  2014.09,	                     0.00,	                     1.59,	                     0.29,	                     0.00,	                     1.88,	                     3.79,	                    11.09,	                    14.89,	                   137.29,	                    14.46
                     9.31,	                     0.48,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1296.70,	                    20.00,	                  1021.40,	                    41.10,	                  2014.09,	                     0.00,	                     1.57,	                     0.29,	                     0.00,	                     1.87,	                     3.79,	                    11.02,	                    14.81,	                   144.39,	                    14.39
                     9.89,	                     0.58,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1291.93,	                    20.00,	                  1016.63,	                    41.10,	                  2014.09,	                     0.00,	                     1.57,	                     0.29,	                     0.00,	                     1.86,	                     3.79,	                    10.98,	                    14.77,	                   152.88,	                    14.34
                    10.58,	                     0.69,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1282.85,	                    20.00,	                  1007.55,	                    41.10,	                  2014.09,	                     0.00,	                     1.55,	                     0.29,	                     0.00,	                     1.85,	                     3.79,	                    10.89,	                    14.69,	                   163.01,	                    14.26
                    11.40,	                     0.83,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1276.95,	                    20.00,	                  1001.64,	                    41.10,	                  2014.09,	                     0.00,	                     1.54,	                     0.29,	                     0.00,	                     1.84,	                     3.79,	                    10.84,	                    14.63,	                   175.13,	                    14.21
                    11.90,	                     0.50,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1269.71,	                    20.00,	                   994.40,	                    41.10,	                  2014.09,	                     0.00,	                     1.53,	                     0.29,	                     0.00,	                     1.82,	                     3.79,	                    10.77,	                    14.57,	                   182.37,	                    14.15
                    12.50,	                     0.60,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1265.98,	                    20.00,	                   990.68,	                    41.10,	                  2014.09,	                     0.00,	                     1.53,	                     0.29,	                     0.00,	                     1.82,	                     3.79,	                    10.74,	                    14.53,	                   191.03,	                    14.11
                    13.21,	                     0.72,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1258.02,	                    20.00,	                   982.71,	                    41.10,	                  2014.09,	                     0.00,	                     1.51,	                     0.29,	                     0.00,	                     1.81,	                     3.79,	                    10.67,	                    14.46,	                   201.38,	                    14.04
                    14.07,	                     0.86,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1253.33,	                    20.00,	                   978.03,	                    41.10,	                  2014.09,	                     0.00,	                     1.51,	                     0.29,	                     0.00,	                     1.80,	                     3.79,	                    10.62,	                    14.42,	                   213.76,	                    14.00
                    14.59,	                     0.52,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1246.79,	                    20.00,	                   971.49,	                    41.10,	                  2014.09,	                     0.00,	                     1.50,	                     0.29,	                     0.00,	                     1.79,	                     3.79,	                    10.56,	                    14.36,	                   221.15,	                    13.94
                    15.21,	                     0.62,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1243.80,	                    20.00,	                   968.49,	                    41.10,	                  2014.09,	                     0.00,	                     1.49,	                     0.29,	                     0.00,	                     1.78,	                     3.79,	                    10.54,	                    14.33,	                   230.01,	                    13.92
