                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                     0.10,	                     0.10,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2106.25,	                    20.00,	                  1830.95,	                    41.10,	                  2014.09,	                     0.00,	                     2.82,	                     0.29,	                     0.00,	                     3.12,	                     3.79,	                    18.41,	                    22.20,	                     2.22,	                    21.56
                     0.22,	                     0.12,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2076.15,	                    20.00,	                  1800.85,	                    41.10,	                  2014.09,	                     0.00,	                     2.78,	                     0.29,	                     0.00,	                     3.07,	                     3.79,	                    18.13,	                    21.93,	                     4.85,	                    21.29
                     0.36,	                     0.14,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2040.53,	                    20.00,	                  1765.23,	                    41.10,	                  2014.09,	                     0.00,	                     2.72,	                     0.29,	                     0.00,	                     3.01,	                     3.79,	                    17.81,	                    21.60,	                     7.96,	                    20.98
                     0.54,	                     0.17,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2002.79,	                    20.00,	                  1727.49,	                    41.10,	                  2014.09,	                     0.00,	                     2.66,	                     0.29,	                     0.00,	                     2.96,	                     3.79,	                    17.46,	                    21.26,	                    11.63,	                    20.64
                     0.74,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1958.94,	                    20.00,	                  1683.64,	                    41.10,	                  2014.09,	                     0.00,	                     2.60,	                     0.29,	                     0.00,	                     2.89,	                     3.79,	                    17.06,	                    20.86,	                    15.96,	                    20.26
                     0.99,	                     0.25,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1913.87,	                    20.00,	                  1638.57,	                    41.10,	                  2014.09,	                     0.00,	                     2.53,	                     0.29,	                     0.00,	                     2.82,	                     3.79,	                    16.65,	                    20.45,	                    21.05,	                    19.86
                     1.29,	                     0.30,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1862.60,	                    20.00,	                  1587.30,	                    41.10,	                  2014.09,	                     0.00,	                     2.45,	                     0.29,	                     0.00,	                     2.74,	                     3.79,	                    16.18,	                    19.98,	                    27.01,	                    19.40
                     1.65,	                     0.36,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1811.95,	                    20.00,	                  1536.65,	                    41.10,	                  2014.09,	                     0.00,	                     2.37,	                     0.29,	                     0.00,	                     2.66,	                     3.79,	                    15.72,	                    19.52,	                    34.01,	                    18.95
                     1.86,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1781.19,	                    20.00,	                  1505.89,	                    41.10,	                  2014.09,	                     0.00,	                     2.32,	                     0.29,	                     0.00,	                     2.61,	                     3.79,	                    15.44,	                    19.23,	                    38.14,	                    18.68
                     2.12,	                     0.26,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1751.52,	                    20.00,	                  1476.22,	                    41.10,	                  2014.09,	                     0.00,	                     2.28,	                     0.29,	                     0.00,	                     2.57,	                     3.79,	                    15.17,	                    18.96,	                    43.03,	                    18.42
