                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                     6.65,	                     0.67,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1387.64,	                    20.00,	                  1112.34,	                    41.10,	                  2014.09,	                     0.00,	                     1.72,	                     0.29,	                     0.00,	                     2.01,	                     3.79,	                    11.85,	                    15.64,	                   110.85,	                    15.19
                     7.45,	                     0.80,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1373.11,	                    20.00,	                  1097.81,	                    41.10,	                  2014.09,	                     0.00,	                     1.69,	                     0.29,	                     0.00,	                     1.98,	                     3.79,	                    11.72,	                    15.51,	                   123.24,	                    15.06
                     7.92,	                     0.48,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1360.60,	                    20.00,	                  1085.29,	                    41.10,	                  2014.09,	                     0.00,	                     1.67,	                     0.29,	                     0.00,	                     1.97,	                     3.79,	                    11.60,	                    15.40,	                   130.62,	                    14.95
                     8.50,	                     0.58,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1351.99,	                    20.00,	                  1076.69,	                    41.10,	                  2014.09,	                     0.00,	                     1.66,	                     0.29,	                     0.00,	                     1.95,	                     3.79,	                    11.52,	                    15.32,	                   139.43,	                    14.88
                     9.19,	                     0.69,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1338.28,	                    20.00,	                  1062.98,	                    41.10,	                  2014.09,	                     0.00,	                     1.64,	                     0.29,	                     0.00,	                     1.93,	                     3.79,	                    11.40,	                    15.19,	                   149.91,	                    14.76
                    10.02,	                     0.83,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1328.12,	                    20.00,	                  1052.82,	                    41.10,	                  2014.09,	                     0.00,	                     1.62,	                     0.29,	                     0.00,	                     1.92,	                     3.79,	                    11.31,	                    15.10,	                   162.42,	                    14.67
                    10.51,	                     0.50,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1318.08,	                    20.00,	                  1042.78,	                    41.10,	                  2014.09,	                     0.00,	                     1.61,	                     0.29,	                     0.00,	                     1.90,	                     3.79,	                    11.21,	                    15.01,	                   169.87,	                    14.58
                    11.11,	                     0.60,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1311.90,	                    20.00,	                  1036.60,	                    41.10,	                  2014.09,	                     0.00,	                     1.60,	                     0.29,	                     0.00,	                     1.89,	                     3.79,	                    11.16,	                    14.95,	                   178.79,	                    14.52
                    11.83,	                     0.72,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1300.87,	                    20.00,	                  1025.57,	                    41.10,	                  2014.09,	                     0.00,	                     1.58,	                     0.29,	                     0.00,	                     1.87,	                     3.79,	                    11.06,	                    14.85,	                   189.42,	                    14.42
                    12.68,	                     0.86,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1293.39,	                    20.00,	                  1018.09,	                    41.10,	                  2014.09,	                     0.00,	                     1.57,	                     0.29,	                     0.00,	                     1.86,	                     3.79,	                    10.99,	                    14.78,	                   202.11,	                    14.36
