Time[d],TimeStep[d],Qo[m3/d],Qw[m3/d],Qg[m3/d],Qwi[m3/d],PwfProd[bar],PwfInj[bar],PwhProd[bar],PwhInj[bar],QgFlare[m3/d],QgFuel[m3/d],QgExp[m3/d],Pump[MW],ESP[MW],ExpCompr[MW],TotalPower[MW],GasEmission[tonCO2/d],DieselEmission[tonCO2/d],TotalEmission[tonCO2/d],CumEmission[tonCO2],RelEmission[kgCO2/boe]
1148.88,8.02,202.27,785.32,404.54,1000.00,277.02,453.51,20.00,178.21,8.09,396.45,0.00,0.27,0.28,0.00,0.55,0.75,3.27,4.02,8292.91,19.83
1153.69,4.81,202.55,790.18,405.10,1000.00,277.19,453.52,20.00,178.22,8.10,397.00,0.00,0.27,0.28,0.00,0.56,0.75,3.28,4.03,8312.30,19.85
1159.46,5.77,201.34,789.70,402.68,1000.00,277.14,452.73,20.00,177.43,8.05,394.63,0.00,0.27,0.28,0.00,0.55,0.74,3.27,4.01,8335.47,19.90
1166.39,6.93,199.99,789.17,399.98,1000.00,277.08,451.83,20.00,176.53,8.00,391.98,0.00,0.27,0.28,0.00,0.55,0.74,3.26,4.00,8363.16,19.95
1170.54,4.16,200.31,793.75,400.62,1000.00,277.24,451.89,20.00,176.59,8.01,392.60,0.00,0.27,0.28,0.00,0.55,0.74,3.27,4.01,8379.82,19.97
1175.53,4.99,199.24,793.28,398.48,1000.00,277.19,451.21,20.00,175.90,7.97,390.51,0.00,0.27,0.28,0.00,0.55,0.74,3.26,4.00,8399.75,20.01
1181.52,5.99,198.05,792.76,396.09,1000.00,277.13,450.42,20.00,175.12,7.92,388.17,0.00,0.27,0.28,0.00,0.55,0.73,3.25,3.98,8423.57,20.06
1188.70,7.18,196.71,792.17,393.42,1000.00,277.07,449.52,20.00,174.22,7.87,385.55,0.00,0.27,0.28,0.00,0.55,0.73,3.24,3.96,8452.05,20.11
1193.01,4.31,197.02,796.77,394.05,1000.00,277.23,449.58,20.00,174.27,7.88,386.17,0.00,0.27,0.28,0.00,0.55,0.73,3.25,3.97,8469.17,20.13
1198.18,5.17,195.97,796.27,391.94,1000.00,277.18,448.90,20.00,173.59,7.84,384.10,0.00,0.27,0.28,0.00,0.55,0.72,3.24,3.96,8489.66,20.18
1204.38,6.21,194.78,795.70,389.57,1000.00,277.12,448.11,20.00,172.81,7.79,381.78,0.00,0.27,0.28,0.00,0.55,0.72,3.23,3.95,8514.15,20.22
1211.83,7.45,193.47,795.10,386.94,1000.00,277.06,447.22,20.00,171.92,7.74,379.20,0.00,0.26,0.28,0.00,0.54,0.71,3.22,3.93,8543.42,20.28
1216.30,4.47,193.78,799.72,387.56,1000.00,277.22,447.27,20.00,171.97,7.75,379.81,0.00,0.26,0.28,0.00,0.55,0.72,3.23,3.94,8561.03,20.30
1221.66,5.36,192.73,799.17,385.45,1000.00,277.17,446.59,20.00,171.29,7.71,377.74,0.00,0.26,0.28,0.00,0.54,0.71,3.22,3.93,8582.09,20.34
1228.09,6.43,191.56,798.59,383.12,1000.00,277.11,445.81,20.00,170.51,7.66,375.46,0.00,0.26,0.28,0.00,0.54,0.71,3.21,3.91,8607.27,20.39
1235.81,7.72,190.25,797.91,380.50,1000.00,277.04,444.91,20.00,169.61,7.61,372.89,0.00,0.26,0.28,0.00,0.54,0.70,3.20,3.90,8637.36,20.45
1240.45,4.63,190.56,802.60,381.12,1000.00,277.21,444.97,20.00,169.67,7.62,373.50,0.00,0.26,0.28,0.00,0.54,0.70,3.20,3.91,8655.46,20.46
1246.00,5.56,189.51,802.01,379.03,1000.00,277.15,444.29,20.00,168.99,7.58,371.45,0.00,0.26,0.28,0.00,0.54,0.70,3.19,3.89,8677.11,20.51
1250.80,4.79,189.13,803.81,378.26,1000.00,277.20,443.98,20.00,168.68,7.57,370.70,0.00,0.26,0.28,0.00,0.54,0.70,3.19,3.89,8695.78,20.54
