                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                   558.36,	                     3.13,	                   394.78,	                   604.18,	                   789.57,	                  1000.00,	                   277.40,	                   582.78,	                    20.00,	                   307.48,	                    15.79,	                   773.77,	                     0.00,	                     0.47,	                     0.28,	                     0.00,	                     0.76,	                     1.46,	                     4.47,	                     5.93,	                  9133.06,	                    14.98
                   562.12,	                     3.75,	                   391.44,	                   605.83,	                   782.89,	                  1000.00,	                   277.35,	                   580.83,	                    20.00,	                   305.53,	                    15.66,	                   767.23,	                     0.00,	                     0.47,	                     0.28,	                     0.00,	                     0.75,	                     1.45,	                     4.45,	                     5.89,	                  9155.18,	                    15.02
                   566.62,	                     4.50,	                   387.70,	                   607.67,	                   775.41,	                  1000.00,	                   277.28,	                   578.59,	                    20.00,	                   303.29,	                    15.51,	                   759.90,	                     0.00,	                     0.47,	                     0.28,	                     0.00,	                     0.75,	                     1.43,	                     4.42,	                     5.85,	                  9181.55,	                    15.07
                   572.03,	                     5.41,	                   383.51,	                   609.68,	                   767.02,	                  1000.00,	                   277.21,	                   576.01,	                    20.00,	                   300.71,	                    15.34,	                   751.68,	                     0.00,	                     0.46,	                     0.28,	                     0.00,	                     0.74,	                     1.42,	                     4.40,	                     5.81,	                  9212.97,	                    15.13
                   575.27,	                     3.24,	                   383.24,	                   615.20,	                   766.47,	                  1000.00,	                   277.38,	                   575.41,	                    20.00,	                   300.11,	                    15.33,	                   751.14,	                     0.00,	                     0.46,	                     0.28,	                     0.00,	                     0.75,	                     1.41,	                     4.40,	                     5.81,	                  9231.83,	                    15.14
                   579.16,	                     3.89,	                   380.01,	                   616.73,	                   760.02,	                  1000.00,	                   277.33,	                   573.51,	                    20.00,	                   298.21,	                    15.20,	                   744.82,	                     0.00,	                     0.46,	                     0.28,	                     0.00,	                     0.74,	                     1.40,	                     4.38,	                     5.78,	                  9254.33,	                    15.19
                   583.83,	                     4.67,	                   376.39,	                   618.42,	                   752.78,	                  1000.00,	                   277.26,	                   571.33,	                    20.00,	                   296.03,	                    15.06,	                   737.72,	                     0.00,	                     0.46,	                     0.28,	                     0.00,	                     0.74,	                     1.39,	                     4.36,	                     5.75,	                  9281.16,	                    15.24
                   589.44,	                     5.60,	                   372.34,	                   620.29,	                   744.69,	                  1000.00,	                   277.19,	                   568.82,	                    20.00,	                   293.52,	                    14.89,	                   729.79,	                     0.00,	                     0.45,	                     0.28,	                     0.00,	                     0.73,	                     1.37,	                     4.33,	                     5.70,	                  9313.13,	                    15.29
                   592.80,	                     3.36,	                   372.10,	                   625.80,	                   744.20,	                  1000.00,	                   277.37,	                   568.25,	                    20.00,	                   292.95,	                    14.88,	                   729.31,	                     0.00,	                     0.45,	                     0.28,	                     0.00,	                     0.73,	                     1.37,	                     4.33,	                     5.71,	                  9332.33,	                    15.31
                   596.83,	                     4.03,	                   368.97,	                   627.21,	                   737.94,	                  1000.00,	                   277.31,	                   566.40,	                    20.00,	                   291.10,	                    14.76,	                   723.18,	                     0.00,	                     0.45,	                     0.28,	                     0.00,	                     0.73,	                     1.36,	                     4.31,	                     5.68,	                  9355.23,	                    15.35
                   601.67,	                     4.84,	                   365.47,	                   628.77,	                   730.95,	                  1000.00,	                   277.25,	                   564.27,	                    20.00,	                   288.97,	                    14.62,	                   716.33,	                     0.00,	                     0.44,	                     0.28,	                     0.00,	                     0.73,	                     1.35,	                     4.29,	                     5.64,	                  9382.54,	                    15.40
                   607.48,	                     5.81,	                   361.55,	                   630.47,	                   723.10,	                  1000.00,	                   277.17,	                   561.82,	                    20.00,	                   286.52,	                    14.46,	                   708.64,	                     0.00,	                     0.44,	                     0.28,	                     0.00,	                     0.72,	                     1.33,	                     4.27,	                     5.60,	                  9415.08,	                    15.46
                   610.97,	                     3.49,	                   361.35,	                   636.02,	                   722.70,	                  1000.00,	                   277.35,	                   561.29,	                    20.00,	                   285.99,	                    14.45,	                   708.25,	                     0.00,	                     0.44,	                     0.28,	                     0.00,	                     0.72,	                     1.33,	                     4.27,	                     5.60,	                  9434.61,	                    15.48
                   615.15,	                     4.18,	                   358.31,	                   637.30,	                   716.62,	                  1000.00,	                   277.29,	                   559.48,	                    20.00,	                   284.18,	                    14.33,	                   702.29,	                     0.00,	                     0.44,	                     0.28,	                     0.00,	                     0.72,	                     1.32,	                     4.25,	                     5.57,	                  9457.93,	                    15.52
                   620.17,	                     5.02,	                   354.92,	                   638.73,	                   709.84,	                  1000.00,	                   277.23,	                   557.41,	                    20.00,	                   282.11,	                    14.20,	                   695.64,	                     0.00,	                     0.43,	                     0.28,	                     0.00,	                     0.72,	                     1.31,	                     4.23,	                     5.54,	                  9485.73,	                    15.57
