                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                     0.10,	                     0.10,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  3207.68,	                    20.00,	                  2932.38,	                    41.10,	                  2014.09,	                     0.00,	                     4.52,	                     0.29,	                     0.00,	                     4.82,	                     3.79,	                    28.46,	                    32.25,	                     3.23,	                    31.32
                     0.22,	                     0.12,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  3095.43,	                    20.00,	                  2820.13,	                    41.10,	                  2014.09,	                     0.00,	                     4.35,	                     0.29,	                     0.00,	                     4.64,	                     3.79,	                    27.43,	                    31.23,	                     6.97,	                    30.33
                     0.36,	                     0.14,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2972.85,	                    20.00,	                  2697.55,	                    41.10,	                  2014.09,	                     0.00,	                     4.16,	                     0.29,	                     0.00,	                     4.45,	                     3.79,	                    26.32,	                    30.11,	                    11.31,	                    29.24
                     0.54,	                     0.17,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2842.94,	                    20.00,	                  2567.64,	                    41.10,	                  2014.09,	                     0.00,	                     3.96,	                     0.29,	                     0.00,	                     4.25,	                     3.79,	                    25.13,	                    28.92,	                    16.31,	                    28.09
                     0.74,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2705.55,	                    20.00,	                  2430.24,	                    41.10,	                  2014.09,	                     0.00,	                     3.75,	                     0.29,	                     0.00,	                     4.04,	                     3.79,	                    23.88,	                    27.67,	                    22.04,	                    26.87
                     0.99,	                     0.25,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2565.21,	                    20.00,	                  2289.90,	                    41.10,	                  2014.09,	                     0.00,	                     3.53,	                     0.29,	                     0.00,	                     3.82,	                     3.79,	                    22.60,	                    26.39,	                    28.61,	                    25.63
                     1.29,	                     0.30,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2422.12,	                    20.00,	                  2146.82,	                    41.10,	                  2014.09,	                     0.00,	                     3.31,	                     0.29,	                     0.00,	                     3.60,	                     3.79,	                    21.29,	                    25.08,	                    36.10,	                    24.36
                     1.65,	                     0.36,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2282.21,	                    20.00,	                  2006.91,	                    41.10,	                  2014.09,	                     0.00,	                     3.10,	                     0.29,	                     0.00,	                     3.39,	                     3.79,	                    20.01,	                    23.81,	                    44.63,	                    23.12
                     1.86,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2207.77,	                    20.00,	                  1932.47,	                    41.10,	                  2014.09,	                     0.00,	                     2.98,	                     0.29,	                     0.00,	                     3.27,	                     3.79,	                    19.33,	                    23.13,	                    49.60,	                    22.46
                     2.12,	                     0.26,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  2132.70,	                    20.00,	                  1857.40,	                    41.10,	                  2014.09,	                     0.00,	                     2.86,	                     0.29,	                     0.00,	                     3.16,	                     3.79,	                    18.65,	                    22.44,	                    55.39,	                    21.80
