Time	PwfInj
0.100	1699
0.220	1688
0.360	1674
0.540	1660
0.740	1641
0.990	1623
1.290	1601
1.650	1579
2.080	1552
2.600	1527
2.910	1509
3.280	1494
3.720	1475
4.260	1457
4.580	1444
4.960	1434
5.430	1419
5.980	1406
6.650	1388
7.450	1373
7.920	1361
8.500	1352
9.190	1338
10.020	1328
10.510	1318
11.110	1312
11.830	1301
12.680	1293
13.200	1285
13.820	1280
14.560	1271
15.450	1265
15.980	1258
16.620	1254
17.390	1246
18.320	1242
18.870	1235
19.540	1232
20.330	1225
21.290	1221
21.860	1215
22.550	1213
23.380	1207
24.370	1204
24.970	1198
25.680	1196
26.540	1191
27.570	1188
28.800	1181
30.280	1177
31.170	1171
32.240	1169
33.520	1162
35.050	1160
35.970	1154
37.080	1152
38.410	1146
40.000	1144
40.950	1139
41.810	1138
