Time	PwfInj
0.100	2106
0.220	2076
0.360	2041
0.540	2003
0.740	1959
0.990	1914
1.290	1863
1.650	1812
1.860	1781
2.120	1752
2.430	1716
2.800	1682
3.030	1659
3.290	1639
3.620	1613
4.000	1588
4.460	1558
5.020	1531
5.350	1511
5.750	1495
6.230	1474
6.800	1456
7.150	1441
7.560	1430
8.060	1414
8.660	1401
9.010	1390
9.440	1382
9.960	1369
10.580	1359
10.950	1350
11.390	1344
11.930	1333
12.570	1326
13.340	1312
14.260	1303
14.540	1297
14.870	1294
15.270	1288
15.750	1285
16.320	1277
17.010	1272
17.840	1262
18.830	1256
19.420	1248
20.140	1245
20.990	1236
22.020	1232
22.640	1225
23.380	1222
24.270	1215
25.340	1211
25.980	1205
26.740	1203
27.660	1196
28.770	1193
29.430	1188
30.230	1186
31.190	1180
32.330	1177
33.710	1170
35.360	1167
36.350	1160
37.540	1158
38.960	1151
40.680	1149
41.860	1143
