                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     0.10	                     0.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  3207.68	                    20.00	                  2932.39	                    41.10	                  2014.09	                     0.00	                     4.52	                     0.29	                     0.00	                     4.82	                     3.79	                    28.46	                    32.25	                     3.23	                    31.32
                     0.22	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  3095.43	                    20.00	                  2820.15	                    41.10	                  2014.09	                     0.00	                     4.35	                     0.29	                     0.00	                     4.64	                     3.79	                    27.43	                    31.23	                     6.97	                    30.33
                     0.36	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2972.85	                    20.00	                  2697.56	                    41.10	                  2014.09	                     0.00	                     4.16	                     0.29	                     0.00	                     4.45	                     3.79	                    26.32	                    30.11	                    11.31	                    29.24
                     0.54	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2842.94	                    20.00	                  2567.65	                    41.10	                  2014.09	                     0.00	                     3.96	                     0.29	                     0.00	                     4.25	                     3.79	                    25.13	                    28.92	                    16.31	                    28.09
                     0.74	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2705.55	                    20.00	                  2430.26	                    41.10	                  2014.09	                     0.00	                     3.75	                     0.29	                     0.00	                     4.04	                     3.79	                    23.88	                    27.67	                    22.04	                    26.87
                     0.99	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2565.21	                    20.00	                  2289.92	                    41.10	                  2014.09	                     0.00	                     3.53	                     0.29	                     0.00	                     3.82	                     3.79	                    22.60	                    26.39	                    28.61	                    25.63
                     1.29	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2422.12	                    20.00	                  2146.83	                    41.10	                  2014.09	                     0.00	                     3.31	                     0.29	                     0.00	                     3.60	                     3.79	                    21.29	                    25.08	                    36.10	                    24.36
                     1.65	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2282.21	                    20.00	                  2006.93	                    41.10	                  2014.09	                     0.00	                     3.10	                     0.29	                     0.00	                     3.39	                     3.79	                    20.01	                    23.81	                    44.63	                    23.12
                     1.86	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2207.77	                    20.00	                  1932.48	                    41.10	                  2014.09	                     0.00	                     2.98	                     0.29	                     0.00	                     3.27	                     3.79	                    19.33	                    23.13	                    49.60	                    22.46
                     2.12	                     0.26	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2132.70	                    20.00	                  1857.42	                    41.10	                  2014.09	                     0.00	                     2.86	                     0.29	                     0.00	                     3.16	                     3.79	                    18.65	                    22.44	                    55.39	                    21.80
                     2.43	                     0.31	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2051.78	                    20.00	                  1776.49	                    41.10	                  2014.09	                     0.00	                     2.74	                     0.29	                     0.00	                     3.03	                     3.79	                    17.91	                    21.70	                    62.11	                    21.08
                     2.80	                     0.37	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1971.99	                    20.00	                  1696.70	                    41.10	                  2014.09	                     0.00	                     2.62	                     0.29	                     0.00	                     2.91	                     3.79	                    17.18	                    20.98	                    69.90	                    20.37
                     3.03	                     0.22	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1926.50	                    20.00	                  1651.21	                    41.10	                  2014.09	                     0.00	                     2.55	                     0.29	                     0.00	                     2.84	                     3.79	                    16.77	                    20.56	                    74.49	                    19.97
                     3.29	                     0.27	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1881.67	                    20.00	                  1606.38	                    41.10	                  2014.09	                     0.00	                     2.48	                     0.29	                     0.00	                     2.77	                     3.79	                    16.36	                    20.15	                    79.88	                    19.57
                     3.62	                     0.32	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1830.66	                    20.00	                  1555.37	                    41.10	                  2014.09	                     0.00	                     2.40	                     0.29	                     0.00	                     2.69	                     3.79	                    15.89	                    19.69	                    86.20	                    19.12
                     4.00	                     0.39	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1780.78	                    20.00	                  1505.49	                    41.10	                  2014.09	                     0.00	                     2.32	                     0.29	                     0.00	                     2.61	                     3.79	                    15.44	                    19.23	                    93.60	                    18.68
                     4.23	                     0.23	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1750.31	                    20.00	                  1475.02	                    41.10	                  2014.09	                     0.00	                     2.27	                     0.29	                     0.00	                     2.57	                     3.79	                    15.16	                    18.95	                    97.98	                    18.41
                     4.51	                     0.28	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1721.32	                    20.00	                  1446.03	                    41.10	                  2014.09	                     0.00	                     2.23	                     0.29	                     0.00	                     2.52	                     3.79	                    14.89	                    18.69	                   103.17	                    18.15
                     4.84	                     0.33	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1686.54	                    20.00	                  1411.25	                    41.10	                  2014.09	                     0.00	                     2.18	                     0.29	                     0.00	                     2.47	                     3.79	                    14.58	                    18.37	                   109.28	                    17.84
                     5.24	                     0.40	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1653.16	                    20.00	                  1377.87	                    41.10	                  2014.09	                     0.00	                     2.12	                     0.29	                     0.00	                     2.42	                     3.79	                    14.27	                    18.07	                   116.50	                    17.55
                     5.48	                     0.24	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1631.33	                    20.00	                  1356.04	                    41.10	                  2014.09	                     0.00	                     2.09	                     0.29	                     0.00	                     2.38	                     3.79	                    14.07	                    17.87	                   120.78	                    17.35
                     5.77	                     0.29	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1611.42	                    20.00	                  1336.13	                    41.10	                  2014.09	                     0.00	                     2.06	                     0.29	                     0.00	                     2.35	                     3.79	                    13.89	                    17.69	                   125.86	                    17.18
                     6.11	                     0.35	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1586.25	                    20.00	                  1310.96	                    41.10	                  2014.09	                     0.00	                     2.02	                     0.29	                     0.00	                     2.31	                     3.79	                    13.66	                    17.46	                   131.88	                    16.95
                     6.53	                     0.41	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1562.71	                    20.00	                  1287.42	                    41.10	                  2014.09	                     0.00	                     1.99	                     0.29	                     0.00	                     2.28	                     3.79	                    13.45	                    17.24	                   139.02	                    16.74
                     6.78	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1546.24	                    20.00	                  1270.96	                    41.10	                  2014.09	                     0.00	                     1.96	                     0.29	                     0.00	                     2.25	                     3.79	                    13.30	                    17.09	                   143.27	                    16.60
                     7.07	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1531.91	                    20.00	                  1256.62	                    41.10	                  2014.09	                     0.00	                     1.94	                     0.29	                     0.00	                     2.23	                     3.79	                    13.17	                    16.96	                   148.32	                    16.47
                     7.43	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1512.82	                    20.00	                  1237.53	                    41.10	                  2014.09	                     0.00	                     1.91	                     0.29	                     0.00	                     2.20	                     3.79	                    12.99	                    16.79	                   154.33	                    16.30
                     7.86	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1495.51	                    20.00	                  1220.23	                    41.10	                  2014.09	                     0.00	                     1.88	                     0.29	                     0.00	                     2.17	                     3.79	                    12.83	                    16.63	                   161.47	                    16.15
                     8.38	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1472.59	                    20.00	                  1197.30	                    41.10	                  2014.09	                     0.00	                     1.85	                     0.29	                     0.00	                     2.14	                     3.79	                    12.62	                    16.42	                   169.93	                    15.95
                     8.99	                     0.62	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1452.82	                    20.00	                  1177.53	                    41.10	                  2014.09	                     0.00	                     1.82	                     0.29	                     0.00	                     2.11	                     3.79	                    12.44	                    16.24	                   179.96	                    15.77
                     9.37	                     0.37	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1437.69	                    20.00	                  1162.40	                    41.10	                  2014.09	                     0.00	                     1.79	                     0.29	                     0.00	                     2.08	                     3.79	                    12.31	                    16.10	                   185.93	                    15.64
                     9.81	                     0.45	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1425.98	                    20.00	                  1150.69	                    41.10	                  2014.09	                     0.00	                     1.77	                     0.29	                     0.00	                     2.07	                     3.79	                    12.20	                    15.99	                   193.05	                    15.53
                    10.34	                     0.53	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1409.15	                    20.00	                  1133.86	                    41.10	                  2014.09	                     0.00	                     1.75	                     0.29	                     0.00	                     2.04	                     3.79	                    12.05	                    15.84	                   201.51	                    15.38
                    10.99	                     0.64	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1395.34	                    20.00	                  1120.05	                    41.10	                  2014.09	                     0.00	                     1.73	                     0.29	                     0.00	                     2.02	                     3.79	                    11.92	                    15.71	                   211.58	                    15.26
                    11.37	                     0.38	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1383.61	                    20.00	                  1108.32	                    41.10	                  2014.09	                     0.00	                     1.71	                     0.29	                     0.00	                     2.00	                     3.79	                    11.81	                    15.61	                   217.59	                    15.16
                    11.83	                     0.46	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1375.23	                    20.00	                  1099.94	                    41.10	                  2014.09	                     0.00	                     1.70	                     0.29	                     0.00	                     1.99	                     3.79	                    11.74	                    15.53	                   224.75	                    15.08
                    12.38	                     0.55	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1362.12	                    20.00	                  1086.83	                    41.10	                  2014.09	                     0.00	                     1.68	                     0.29	                     0.00	                     1.97	                     3.79	                    11.62	                    15.41	                   233.29	                    14.97
                    13.05	                     0.66	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1351.99	                    20.00	                  1076.70	                    41.10	                  2014.09	                     0.00	                     1.66	                     0.29	                     0.00	                     1.95	                     3.79	                    11.52	                    15.32	                   243.46	                    14.88
                    13.45	                     0.40	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1342.43	                    20.00	                  1067.14	                    41.10	                  2014.09	                     0.00	                     1.65	                     0.29	                     0.00	                     1.94	                     3.79	                    11.44	                    15.23	                   249.54	                    14.79
                    13.93	                     0.48	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1336.16	                    20.00	                  1060.87	                    41.10	                  2014.09	                     0.00	                     1.64	                     0.29	                     0.00	                     1.93	                     3.79	                    11.38	                    15.17	                   256.80	                    14.74
                    14.50	                     0.57	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1325.46	                    20.00	                  1050.17	                    41.10	                  2014.09	                     0.00	                     1.62	                     0.29	                     0.00	                     1.91	                     3.79	                    11.28	                    15.08	                   265.45	                    14.64
                    15.19	                     0.69	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1317.74	                    20.00	                  1042.45	                    41.10	                  2014.09	                     0.00	                     1.61	                     0.29	                     0.00	                     1.90	                     3.79	                    11.21	                    15.01	                   275.79	                    14.57
                    15.60	                     0.41	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1309.62	                    20.00	                  1034.33	                    41.10	                  2014.09	                     0.00	                     1.59	                     0.29	                     0.00	                     1.89	                     3.79	                    11.14	                    14.93	                   281.96	                    14.50
                    16.10	                     0.50	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1304.76	                    20.00	                  1029.48	                    41.10	                  2014.09	                     0.00	                     1.59	                     0.29	                     0.00	                     1.88	                     3.79	                    11.09	                    14.89	                   289.35	                    14.46
                    16.69	                     0.60	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1295.72	                    20.00	                  1020.43	                    41.10	                  2014.09	                     0.00	                     1.57	                     0.29	                     0.00	                     1.87	                     3.79	                    11.01	                    14.80	                   298.16	                    14.38
                    17.41	                     0.71	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1289.65	                    20.00	                  1014.37	                    41.10	                  2014.09	                     0.00	                     1.56	                     0.29	                     0.00	                     1.86	                     3.79	                    10.96	                    14.75	                   308.69	                    14.32
                    17.84	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1282.55	                    20.00	                  1007.26	                    41.10	                  2014.09	                     0.00	                     1.55	                     0.29	                     0.00	                     1.84	                     3.79	                    10.89	                    14.68	                   314.99	                    14.26
                    18.35	                     0.51	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1278.69	                    20.00	                  1003.40	                    41.10	                  2014.09	                     0.00	                     1.55	                     0.29	                     0.00	                     1.84	                     3.79	                    10.85	                    14.65	                   322.52	                    14.23
                    18.97	                     0.62	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1270.84	                    20.00	                   995.55	                    41.10	                  2014.09	                     0.00	                     1.53	                     0.29	                     0.00	                     1.83	                     3.79	                    10.78	                    14.58	                   331.52	                    14.16
                    19.71	                     0.74	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1265.95	                    20.00	                   990.66	                    41.10	                  2014.09	                     0.00	                     1.53	                     0.29	                     0.00	                     1.82	                     3.79	                    10.74	                    14.53	                   342.28	                    14.11
                    20.60	                     0.89	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1255.76	                    20.00	                   980.47	                    41.10	                  2014.09	                     0.00	                     1.51	                     0.29	                     0.00	                     1.80	                     3.79	                    10.65	                    14.44	                   355.11	                    14.02
                    21.66	                     1.07	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1249.83	                    20.00	                   974.55	                    41.10	                  2014.09	                     0.00	                     1.50	                     0.29	                     0.00	                     1.79	                     3.79	                    10.59	                    14.39	                   370.46	                    13.97
                    22.30	                     0.64	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1241.71	                    20.00	                   966.42	                    41.10	                  2014.09	                     0.00	                     1.49	                     0.29	                     0.00	                     1.78	                     3.79	                    10.52	                    14.31	                   379.61	                    13.90
                    23.07	                     0.77	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1238.03	                    20.00	                   962.74	                    41.10	                  2014.09	                     0.00	                     1.48	                     0.29	                     0.00	                     1.78	                     3.79	                    10.48	                    14.28	                   390.58	                    13.87
                    23.99	                     0.92	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1229.43	                    20.00	                   954.15	                    41.10	                  2014.09	                     0.00	                     1.47	                     0.29	                     0.00	                     1.76	                     3.79	                    10.41	                    14.20	                   403.66	                    13.79
                    25.10	                     1.11	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1224.88	                    20.00	                   949.60	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.76	                     3.79	                    10.36	                    14.16	                   419.31	                    13.75
                    25.76	                     0.66	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1217.82	                    20.00	                   942.54	                    41.10	                  2014.09	                     0.00	                     1.45	                     0.29	                     0.00	                     1.74	                     3.79	                    10.30	                    14.09	                   428.66	                    13.69
                    26.56	                     0.80	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1214.95	                    20.00	                   939.67	                    41.10	                  2014.09	                     0.00	                     1.45	                     0.29	                     0.00	                     1.74	                     3.79	                    10.27	                    14.07	                   439.86	                    13.66
                    27.51	                     0.96	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1207.54	                    20.00	                   932.25	                    41.10	                  2014.09	                     0.00	                     1.44	                     0.29	                     0.00	                     1.73	                     3.79	                    10.21	                    14.00	                   453.24	                    13.60
                    28.66	                     1.15	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1203.94	                    20.00	                   928.65	                    41.10	                  2014.09	                     0.00	                     1.43	                     0.29	                     0.00	                     1.72	                     3.79	                    10.17	                    13.97	                   469.25	                    13.56
                    29.35	                     0.69	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1197.70	                    20.00	                   922.42	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.12	                    13.91	                   478.82	                    13.51
                    30.17	                     0.83	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1195.40	                    20.00	                   920.11	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.09	                    13.89	                   490.28	                    13.49
                    31.16	                     0.99	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1188.89	                    20.00	                   913.60	                    41.10	                  2014.09	                     0.00	                     1.41	                     0.29	                     0.00	                     1.70	                     3.79	                    10.04	                    13.83	                   503.98	                    13.43
                    32.35	                     1.19	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1185.96	                    20.00	                   910.67	                    41.10	                  2014.09	                     0.00	                     1.40	                     0.29	                     0.00	                     1.70	                     3.79	                    10.01	                    13.80	                   520.38	                    13.41
                    33.07	                     0.71	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1180.36	                    20.00	                   905.07	                    41.10	                  2014.09	                     0.00	                     1.40	                     0.29	                     0.00	                     1.69	                     3.79	                     9.96	                    13.75	                   530.19	                    13.36
                    33.92	                     0.86	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1178.47	                    20.00	                   903.18	                    41.10	                  2014.09	                     0.00	                     1.39	                     0.29	                     0.00	                     1.68	                     3.79	                     9.94	                    13.73	                   541.95	                    13.34
                    34.95	                     1.03	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1172.63	                    20.00	                   897.35	                    41.10	                  2014.09	                     0.00	                     1.38	                     0.29	                     0.00	                     1.68	                     3.79	                     9.89	                    13.68	                   556.00	                    13.29
                    36.18	                     1.23	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1170.20	                    20.00	                   894.92	                    41.10	                  2014.09	                     0.00	                     1.38	                     0.29	                     0.00	                     1.67	                     3.79	                     9.87	                    13.66	                   572.83	                    13.27
                    36.92	                     0.74	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1165.09	                    20.00	                   889.81	                    41.10	                  2014.09	                     0.00	                     1.37	                     0.29	                     0.00	                     1.66	                     3.79	                     9.82	                    13.61	                   582.89	                    13.22
                    37.81	                     0.89	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1163.51	                    20.00	                   888.22	                    41.10	                  2014.09	                     0.00	                     1.37	                     0.29	                     0.00	                     1.66	                     3.79	                     9.80	                    13.60	                   594.96	                    13.21
                    38.87	                     1.06	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1158.20	                    20.00	                   882.91	                    41.10	                  2014.09	                     0.00	                     1.36	                     0.29	                     0.00	                     1.65	                     3.79	                     9.76	                    13.55	                   609.38	                    13.16
                    40.15	                     1.28	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1156.14	                    20.00	                   880.86	                    41.10	                  2014.09	                     0.00	                     1.36	                     0.29	                     0.00	                     1.65	                     3.79	                     9.74	                    13.53	                   626.67	                    13.14
                    41.68	                     1.53	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1149.03	                    20.00	                   873.75	                    41.10	                  2014.09	                     0.00	                     1.35	                     0.29	                     0.00	                     1.64	                     3.79	                     9.67	                    13.47	                   647.32	                    13.08
                    43.52	                     1.84	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1146.47	                    20.00	                   871.18	                    41.10	                  2014.09	                     0.00	                     1.34	                     0.29	                     0.00	                     1.63	                     3.79	                     9.65	                    13.44	                   672.05	                    13.06
                    44.63	                     1.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1140.19	                    20.00	                   864.90	                    41.10	                  2014.09	                     0.00	                     1.33	                     0.29	                     0.00	                     1.63	                     3.79	                     9.59	                    13.39	                   686.83	                    13.00
                    45.95	                     1.32	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1138.56	                    20.00	                   863.27	                    41.10	                  2014.09	                     0.00	                     1.33	                     0.29	                     0.00	                     1.62	                     3.79	                     9.58	                    13.37	                   704.54	                    12.99
                    47.54	                     1.59	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1132.21	                    20.00	                   856.92	                    41.10	                  2014.09	                     0.00	                     1.32	                     0.29	                     0.00	                     1.61	                     3.79	                     9.52	                    13.31	                   725.70	                    12.93
                    49.45	                     1.91	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1130.14	                    20.00	                   854.85	                    41.10	                  2014.09	                     0.00	                     1.32	                     0.29	                     0.00	                     1.61	                     3.79	                     9.50	                    13.29	                   751.06	                    12.91
                    50.59	                     1.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1124.43	                    20.00	                   849.14	                    41.10	                  2014.09	                     0.00	                     1.31	                     0.29	                     0.00	                     1.60	                     3.79	                     9.45	                    13.24	                   766.21	                    12.86
                    51.97	                     1.37	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1123.10	                    20.00	                   847.81	                    41.10	                  2014.09	                     0.00	                     1.31	                     0.29	                     0.00	                     1.60	                     3.79	                     9.44	                    13.23	                   784.38	                    12.85
