                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     0.10	                     0.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1198.60	                    20.00	                   923.32	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.72	                     3.79	                    10.12	                    13.92	                     1.39	                    13.52
                     0.22	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1198.39	                    20.00	                   923.10	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.12	                    13.92	                     3.06	                    13.52
                     0.36	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1198.06	                    20.00	                   922.77	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.12	                    13.91	                     5.07	                    13.51
                     0.54	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1197.75	                    20.00	                   922.46	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.12	                    13.91	                     7.47	                    13.51
                     0.74	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1197.25	                    20.00	                   921.96	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.11	                    13.91	                    10.35	                    13.51
                     0.99	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1196.81	                    20.00	                   921.52	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.11	                    13.90	                    13.81	                    13.50
                     1.29	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1196.03	                    20.00	                   920.74	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.10	                    13.89	                    17.96	                    13.49
                     1.65	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1195.43	                    20.00	                   920.14	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.10	                    13.89	                    22.94	                    13.49
                     2.08	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1194.19	                    20.00	                   918.90	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.08	                    13.88	                    28.90	                    13.48
                     2.60	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1193.35	                    20.00	                   918.06	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.29	                     0.00	                     1.71	                     3.79	                    10.08	                    13.87	                    36.06	                    13.47
