Time	PwfInj
2.910	4361
3.280	3723
3.500	3435
3.770	3154
4.090	2886
4.470	2636
4.700	2512
4.980	2388
5.310	2261
5.710	2139
5.830	2103
5.980	2067
6.150	2026
6.360	1982
6.610	1932
6.900	1882
7.260	1825
7.690	1771
7.950	1738
8.260	1707
8.630	1670
9.070	1635
9.340	1612
9.660	1592
10.050	1566
10.510	1542
10.780	1525
11.120	1511
11.510	1491
11.990	1474
12.280	1461
12.620	1451
13.040	1436
13.530	1423
14.130	1404
14.840	1390
15.270	1377
15.790	1368
16.400	1354
17.140	1343
17.590	1333
18.120	1327
18.760	1316
19.530	1308
19.990	1299
20.540	1294
21.210	1285
22.000	1279
22.480	1271
23.050	1268
23.740	1260
24.570	1255
25.060	1248
25.660	1245
26.370	1238
27.230	1234
27.740	1228
28.350	1226
29.090	1219
29.980	1216
31.050	1208
32.320	1204
33.090	1197
34.010	1194
35.110	1187
36.440	1184
37.230	1178
38.190	1176
39.330	1169
40.710	1167
41.530	1161
42.520	1160
43.710	1154
45.130	1152
45.980	1147
47.010	1145
48.240	1140
49.720	1138
