                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     0.10	                     0.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1224.80	                    20.00	                   949.51	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.76	                     3.79	                    10.36	                    14.16	                     1.42	                    13.75
                     0.22	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1224.44	                    20.00	                   949.15	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.76	                     3.79	                    10.36	                    14.15	                     3.11	                    13.75
                     0.36	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1223.85	                    20.00	                   948.56	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.75	                     3.79	                    10.35	                    14.15	                     5.15	                    13.74
                     0.54	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1223.34	                    20.00	                   948.06	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.75	                     3.79	                    10.35	                    14.14	                     7.60	                    13.74
                     0.74	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1222.49	                    20.00	                   947.20	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.75	                     3.79	                    10.34	                    14.14	                    10.53	                    13.73
                     0.99	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1221.78	                    20.00	                   946.49	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.75	                     3.79	                    10.34	                    14.13	                    14.04	                    13.72
                     1.29	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1220.52	                    20.00	                   945.23	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.75	                     3.79	                    10.32	                    14.12	                    18.26	                    13.71
                     1.65	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1219.53	                    20.00	                   944.24	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.75	                     3.79	                    10.32	                    14.11	                    23.31	                    13.70
                     2.08	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1217.65	                    20.00	                   942.36	                    41.10	                  2014.09	                     0.00	                     1.45	                     0.29	                     0.00	                     1.74	                     3.79	                    10.30	                    14.09	                    29.37	                    13.69
                     2.60	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1216.31	                    20.00	                   941.02	                    41.10	                  2014.09	                     0.00	                     1.45	                     0.29	                     0.00	                     1.74	                     3.79	                    10.29	                    14.08	                    36.64	                    13.67
                     3.22	                     0.62	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1213.46	                    20.00	                   938.17	                    41.10	                  2014.09	                     0.00	                     1.45	                     0.29	                     0.00	                     1.74	                     3.79	                    10.26	                    14.05	                    45.34	                    13.65
                     3.96	                     0.74	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1211.67	                    20.00	                   936.38	                    41.10	                  2014.09	                     0.00	                     1.44	                     0.29	                     0.00	                     1.74	                     3.79	                    10.24	                    14.04	                    55.77	                    13.63
