Time	PwfInj
0.220	7857
0.360	7010
0.540	6193
0.740	5432
0.990	4730
1.290	4111
1.650	3564
1.860	3312
2.120	3063
2.430	2822
2.800	2595
3.030	2480
3.290	2365
3.620	2246
4.000	2130
4.120	2096
4.250	2062
4.420	2022
4.620	1980
4.860	1932
5.150	1884
5.490	1829
5.910	1776
6.160	1744
6.450	1713
6.810	1677
7.240	1642
7.500	1620
7.810	1599
8.180	1573
8.620	1550
8.890	1533
9.210	1518
9.600	1499
10.060	1482
10.330	1469
10.670	1458
11.060	1443
11.540	1430
12.120	1412
12.810	1396
13.220	1384
13.720	1375
14.310	1361
15.030	1350
15.450	1340
15.970	1333
16.590	1322
17.330	1314
17.770	1305
18.300	1300
18.940	1291
19.710	1285
20.170	1277
20.720	1273
21.390	1265
22.180	1260
22.660	1254
23.230	1251
23.920	1243
24.750	1239
25.740	1230
26.930	1225
27.640	1218
28.500	1214
29.520	1207
30.760	1203
31.490	1196
32.380	1194
33.450	1187
34.720	1184
35.490	1178
36.410	1176
37.510	1170
38.840	1167
39.630	1162
40.590	1160
41.730	1155
43.110	1153
43.930	1148
44.920	1146
46.110	1141
47.530	1139
49.240	1133
51.290	1130
52.520	1124
54.000	1123
