                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     0.10	                     0.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1310.11	                    20.00	                  1034.82	                    41.10	                  2014.09	                     0.00	                     1.60	                     0.29	                     0.00	                     1.89	                     3.79	                    11.14	                    14.94	                     1.49	                    14.51
                     0.22	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1308.98	                    20.00	                  1033.69	                    41.10	                  2014.09	                     0.00	                     1.59	                     0.29	                     0.00	                     1.89	                     3.79	                    11.13	                    14.93	                     3.28	                    14.50
                     0.36	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1307.15	                    20.00	                  1031.86	                    41.10	                  2014.09	                     0.00	                     1.59	                     0.29	                     0.00	                     1.88	                     3.79	                    11.11	                    14.91	                     5.43	                    14.48
                     0.54	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1305.58	                    20.00	                  1030.29	                    41.10	                  2014.09	                     0.00	                     1.59	                     0.29	                     0.00	                     1.88	                     3.79	                    11.10	                    14.89	                     8.01	                    14.47
                     0.74	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1303.03	                    20.00	                  1027.74	                    41.10	                  2014.09	                     0.00	                     1.58	                     0.29	                     0.00	                     1.88	                     3.79	                    11.08	                    14.87	                    11.09	                    14.44
                     0.99	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1300.87	                    20.00	                  1025.59	                    41.10	                  2014.09	                     0.00	                     1.58	                     0.29	                     0.00	                     1.87	                     3.79	                    11.06	                    14.85	                    14.78	                    14.42
                     1.29	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1297.35	                    20.00	                  1022.06	                    41.10	                  2014.09	                     0.00	                     1.58	                     0.29	                     0.00	                     1.87	                     3.79	                    11.03	                    14.82	                    19.21	                    14.39
                     1.65	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1294.45	                    20.00	                  1019.16	                    41.10	                  2014.09	                     0.00	                     1.57	                     0.29	                     0.00	                     1.86	                     3.79	                    11.00	                    14.79	                    24.51	                    14.37
                     2.08	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1289.63	                    20.00	                  1014.34	                    41.10	                  2014.09	                     0.00	                     1.56	                     0.29	                     0.00	                     1.86	                     3.79	                    10.95	                    14.75	                    30.85	                    14.32
                     2.60	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1285.83	                    20.00	                  1010.55	                    41.10	                  2014.09	                     0.00	                     1.56	                     0.29	                     0.00	                     1.85	                     3.79	                    10.92	                    14.71	                    38.44	                    14.29
