Sw	Krw
0.0	0.0
0.01	0.0
0.02	0.0
0.03	0.0
0.04	0.0
0.05	0.0
0.06	0.0
0.07	0.0
0.08	0.0
0.09	0.0
0.1	0.0
0.11	0.0
0.12	0.0
0.13	0.0
0.14	0.0
0.15	0.0
0.16	0.0
0.17	0.0
0.18	0.0
0.19	0.0
0.2	0.0
0.21	0.00015380859374999946
0.22	0.0006152343749999996
0.23	0.0013842773437500006
0.24	0.0024609374999999983
0.25	0.00384521484375
0.26	0.0055371093750000025
0.27	0.007536621093750005
0.28	0.009843750000000009
0.29	0.012458496093749995
0.3	0.015380859375
0.31	0.01861083984375
0.32	0.02214843750000001
0.33	0.02599365234375001
0.34	0.03014648437500002
0.35	0.03460693359374999
0.36	0.039375
0.37	0.04445068359375
0.38	0.049833984375000015
0.39	0.055524902343750016
0.4	0.06152343750000002
0.41	0.06782958984375
0.42	0.074443359375
0.43	0.08136474609375
0.44	0.08859375000000004
0.45	0.09613037109375004
0.46	0.10397460937500004
0.47	0.11212646484375
0.48	0.1205859375
0.49	0.12935302734375004
0.5	0.13842773437500003
0.51	0.14781005859375004
0.52	0.15750000000000008
0.53	0.16749755859375007
0.54	0.17780273437500008
0.55	0.18841552734375008
0.56	0.19933593750000006
0.57	0.21056396484375
0.58	0.222099609375
0.59	0.23394287109375
0.6	0.24609375
0.61	0.2585522460937501
0.62	0.2713183593750001
0.63	0.2843920898437501
0.64	0.2977734375000001
0.65	0.3114624023437501
0.66	0.3254589843750001
0.67	0.3397631835937501
0.68	0.3543750000000002
0.69	0.36929443359375
0.7	0.384521484375
0.71	0.40005615234375014
0.72	0.41589843750000016
0.73	0.43204833984375024
0.74	0.4485058593750002
0.75	0.4652709960937502
0.76	0.4823437500000003
0.77	0.4997241210937503
0.78	0.5174121093750003
0.79	0.5354077148437503
0.8	0.5537109375000004
0.81	0.5723217773437504
0.82	0.591240234375
0.83	0.61046630859375
0.84	0.63
0.85	0.6531250000000001
0.86	0.67625
0.87	0.6993750000000001
0.88	0.7225000000000001
0.89	0.7456250000000001
0.9	0.7687500000000002
0.91	0.7918750000000001
0.92	0.8150000000000002
0.93	0.8381250000000002
0.94	0.86125
0.95	0.8843749999999999
0.96	0.9075
0.97	0.930625
0.98	0.9537500000000001
0.99	0.976875
1.0	1.0
