Length_m	Pressure_bar
00.0	300.0000000000001
10.0	298.9805868388327
20.0	297.96130225861066
30.0	296.94214621884294
40.0	295.923118679057
50.0	294.9042195987987
60.0	293.8854489376324
70.0	292.8668066551407
80.0	291.8482927109245
90.0	290.8299070646033
100.0	289.8116496758147
110.0	288.79352050421477
120.0	287.7755195094779
130.0	286.7576466512967
140.0	285.73990188938217
150.0	284.72228518346355
160.0	283.70479649328837
170.0	282.68743577862244
180.0	281.6702029992498
190.0	280.65309811497275
200.0	279.6361210856118
210.0	278.61927187100576
220.0	277.6025504310116
230.0	276.5859567255044
240.0	275.56949071437754
250.0	274.5531523575426
260.0	273.5369416149293
270.0	272.52085844648536
280.0	271.5049028121769
290.0	270.489074671988
300.0	269.47337398592094
310.0	268.4578007139961
320.0	267.44235481625196
330.0	266.42703625274504
340.0	265.41184498355
350.0	264.3967809687596
360.0	263.3818441684845
370.0	262.3670345428536
380.0	261.35235205201377
390.0	260.33779665612985
400.0	259.3233683153847
410.0	258.30906698997927
420.0	257.29489264013245
430.0	256.28084522608106
440.0	255.26692470807998
450.0	254.25313104640202
460.0	253.2394642013379
470.0	252.22592413319637
480.0	251.212510802304
490.0	250.19922416900533
500.0	249.18606419366282
510.0	248.17303083665678
520.0	247.16012405838546
530.0	246.14734381926493
540.0	245.13469007972918
550.0	244.12216280023
560.0	243.10976194123705
570.0	242.09748746323783
580.0	241.08533932673762
590.0	240.07331749225955
600.0	239.06142192034454
610.0	238.0496525715513
620.0	237.03800940645627
630.0	236.02649238565374
640.0	235.0151014697557
650.0	234.0038366193919
660.0	232.99269779520984
670.0	231.9816849578747
680.0	230.97079806806943
690.0	229.96003708649462
700.0	228.94940197386862
710.0	227.93889269092742
720.0	226.92850919842468
730.0	225.91825145713176
740.0	224.90811942783762
750.0	223.8981130713489
760.0	222.88823234848982
770.0	221.87847722010227
780.0	220.86884764704573
790.0	219.85934359019726
800.0	218.84996501045154
810.0	217.8407118687208
820.0	216.83158412593482
830.0	215.822581743041
840.0	214.81370468100422
850.0	213.8049529008069
860.0	212.79632636344905
870.0	211.7878250299481
880.0	210.77944886133903
890.0	209.77119781867435
900.0	208.76307186302398
910.0	207.75507095547533
920.0	206.7471950571333
930.0	205.73944412912022
940.0	204.73181813257585
950.0	203.72431702865742
960.0	202.71694077853957
970.0	201.70968934341428
980.0	200.702562684491
990.0	199.69556076299656
1000.0	198.68868354017516
1010.0	197.68193097728835
1020.0	196.67530303561503
1030.0	195.6687996764515
1040.0	194.66242086111134
1050.0	193.6561665509255
1060.0	192.6500367072422
1070.0	191.644031291427
1080.0	190.63815026486276
1090.0	189.63239358894958
1100.0	188.6267612251049
1110.0	187.62125313476335
1120.0	186.61586927937688
1130.0	185.61060962041464
1140.0	184.605474119363
1150.0	183.60046273772562
1160.0	182.5955754370233
1170.0	181.59081217879412
1180.0	180.58617292459328
1190.0	179.5816576359932
1200.0	178.57726627458345
1210.0	177.57299880197078
1220.0	176.5688551797791
1230.0	175.5648353696494
1240.0	174.56093933323987
1250.0	173.5571670322258
1260.0	172.55351842829958
1270.0	171.5499934831707
1280.0	170.54659215856577
1290.0	169.54331441622844
1300.0	168.54016021791946
1310.0	167.53712952541662
1320.0	166.53422230051476
1330.0	165.53143850502576
1340.0	164.52877810077854
1350.0	163.52624104961905
1360.0	162.5238273134102
1370.0	161.52153685403198
1380.0	160.51936963338127
1390.0	159.517325613372
1400.0	158.51540475593507
1410.0	157.5136070230183
1420.0	156.51193237658646
1430.0	155.51038077862128
1440.0	154.50895219112144
1450.0	153.50764657610247
1460.0	152.50646389559688
1470.0	151.50540411165403
1480.0	150.5044671863402
1490.0	149.50365308173852
1500.0	148.50296175994902
1510.0	147.50239318308854
