Length_m	Pressure_bar
3110.0	85.08342424895089
3120.0	84.09025237313595
3130.0	83.0972008261304
3140.0	82.10426957112267
3150.0	81.11145857131737
3160.0	80.11876778993535
3170.0	79.12619719021362
3180.0	78.13374673540541
3190.0	77.14141638878012
3200.0	76.14920611362331
3210.0	75.1571158732367
3220.0	74.16514563093818
3230.0	73.17329535006178
3240.0	72.18156499395762
3250.0	71.18995452599198
3260.0	70.19846390954724
3270.0	69.2070931080219
3280.0	68.21584208483051
3290.0	67.22471080340377
3300.0	66.23369922718838
3310.0	65.24280731964717
3320.0	64.25203504425899
3330.0	63.26138236451874
3340.0	62.27084924393736
3350.0	61.28043564604183
3360.0	60.29014153437513
3370.0	59.299966872496256
3380.0	58.309911623980206
3390.0	57.31997575241796
3400.0	56.330159221416494
3410.0	55.34046199459874
3420.0	54.3508840356036
