Time	PwfInj
0.100	1499
0.220	1494
0.360	1487
0.540	1481
0.740	1472
0.990	1464
1.290	1453
1.650	1442
2.080	1428
2.600	1415
3.220	1398
3.960	1383
4.400	1371
4.940	1363
5.580	1349
6.350	1339
6.810	1330
7.370	1323
8.030	1313
8.830	1305
9.310	1297
9.890	1292
10.580	1283
11.400	1277
11.900	1270
12.500	1266
13.210	1258
14.070	1253
14.590	1247
15.210	1244
15.950	1237
16.840	1233
17.370	1227
18.010	1224
18.780	1218
19.700	1215
20.810	1207
22.140	1203
22.940	1196
23.890	1193
25.040	1186
26.420	1183
27.250	1176
28.240	1174
29.430	1168
30.860	1165
31.720	1160
32.740	1158
33.980	1152
35.460	1150
36.350	1145
37.420	1144
38.700	1138
40.230	1137
41.150	1132
42.260	1131
43.580	1126
45.180	1124
46.130	1120
47.280	1119
48.650	1114
